Course ID,Subject,Instructor ID,Start_1,Srt1 AM/PM,End 1,End 1 AMPM,Dec End Time,Days 1,Facil ID 1
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
557,RELG,187,10:00:00 AM,10:00 AM,12:30:00 PM,12:30 PM,12.5,M,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
746,ENGL,218,7:30:00 PM, 7:30 PM,10:00:00 PM,10:00 PM,22,T,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
704,WRPR,110,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,14.5,T H,WDS
704,WRPR,110,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,14.5,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
746,ENGL,218,7:30:00 PM, 7:30 PM,10:00:00 PM,10:00 PM,22,T,WDS
746,ENGL,218,7:30:00 PM, 7:30 PM,10:00:00 PM,10:00 PM,22,T,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
704,WRPR,110,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,14.5,T H,WDS
746,ENGL,218,7:30:00 PM, 7:30 PM,10:00:00 PM,10:00 PM,22,T,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
557,RELG,187,10:00:00 AM,10:00 AM,12:30:00 PM,12:30 PM,12.5,M,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
746,ENGL,218,7:30:00 PM, 7:30 PM,10:00:00 PM,10:00 PM,22,T,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
557,RELG,187,10:00:00 AM,10:00 AM,12:30:00 PM,12:30 PM,12.5,M,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
557,RELG,187,10:00:00 AM,10:00 AM,12:30:00 PM,12:30 PM,12.5,M,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
704,WRPR,110,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,14.5,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
746,ENGL,218,7:30:00 PM, 7:30 PM,10:00:00 PM,10:00 PM,22,T,WDS
557,RELG,187,10:00:00 AM,10:00 AM,12:30:00 PM,12:30 PM,12.5,M,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
483,ENGL,218,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,M W,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
704,WRPR,110,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,14.5,T H,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
557,RELG,187,10:00:00 AM,10:00 AM,12:30:00 PM,12:30 PM,12.5,M,WDS
483,ENGL,218,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,M W,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
483,ENGL,218,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,M W,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
746,ENGL,218,7:30:00 PM, 7:30 PM,10:00:00 PM,10:00 PM,22,T,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
483,ENGL,218,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,M W,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
557,RELG,187,10:00:00 AM,10:00 AM,12:30:00 PM,12:30 PM,12.5,M,WDS
704,WRPR,110,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,14.5,T H,WDS
704,WRPR,110,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,14.5,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
557,RELG,187,10:00:00 AM,10:00 AM,12:30:00 PM,12:30 PM,12.5,M,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
483,ENGL,218,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,M W,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
557,RELG,187,10:00:00 AM,10:00 AM,12:30:00 PM,12:30 PM,12.5,M,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
704,WRPR,110,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,14.5,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
704,WRPR,110,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,14.5,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
704,WRPR,110,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,14.5,T H,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
746,ENGL,218,7:30:00 PM, 7:30 PM,10:00:00 PM,10:00 PM,22,T,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
746,ENGL,218,7:30:00 PM, 7:30 PM,10:00:00 PM,10:00 PM,22,T,WDS
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
532,MUSC,245,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,M W,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
462,MUSC,238,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,UN114
462,MUSC,238,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,UN114
532,MUSC,245,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,M W,UN114
462,MUSC,238,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,UN114
462,MUSC,238,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,UN114
462,MUSC,238,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,UN114
462,MUSC,238,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
462,MUSC,238,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
532,MUSC,245,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,M W,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
462,MUSC,238,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,UN114
532,MUSC,245,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,M W,UN114
462,MUSC,238,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,UN114
532,MUSC,245,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,M W,UN114
462,MUSC,238,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
462,MUSC,238,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,UN114
532,MUSC,245,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,M W,UN114
532,MUSC,245,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,M W,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
462,MUSC,238,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,UN114
319,MUSC,238,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,10,T H,UN114
3,MUSC,99,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,UN111
3,MUSC,99,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,UN111
3,MUSC,99,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,UN111
3,MUSC,99,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,UN111
3,MUSC,99,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,UN111
297,FREN,38,7:00:00 PM, 7:00 PM,8:00:00 PM, 8:00 PM,20,H,TAYD
297,FREN,38,6:00:00 PM, 6:00 PM,7:00:00 PM, 7:00 PM,19,W,TAYD
297,FREN,38,6:00:00 PM, 6:00 PM,7:00:00 PM, 7:00 PM,19,W,TAYD
297,FREN,38,7:00:00 PM, 7:00 PM,8:00:00 PM, 8:00 PM,20,T,TAYD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
328,HIST,212,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,11.5,T H,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
478,MATH,33,10:30:00 AM,10:30 AM,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
359,CHEM,137,9:30:00 AM, 9:30 AM,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD
